Date,Price,Open,High,Low,Vol.,Change %
"Jan 31, 2022",149.21,149.21,149.21,149.21,-,0.03
"Jan 28, 2022",145.55,145.55,145.55,145.55,-,-0.02
"Jan 27, 2022",148.97,148.97,148.97,148.97,-,0.00
"Jan 26, 2022",149.34,149.34,149.34,149.34,-,0.03
"Jan 25, 2022",144.76,144.76,144.76,144.76,-,0.02
"Jan 24, 2022",142.04,142.04,142.04,142.04,-,-0.03
"Jan 21, 2022",146.02,146.02,146.02,146.02,-,-0.01
"Jan 20, 2022",147.59,147.59,147.59,147.59,-,0.00
"Jan 19, 2022",147.08,147.08,147.08,147.08,-,0.02
"Jan 18, 2022",144.63,144.63,144.63,144.63,-,0.01
"Jan 17, 2022",142.64,142.64,142.64,142.64,-,0.01
"Jan 14, 2022",141.78,141.78,141.78,141.78,-,0.01
"Jan 13, 2022",140.17,140.17,140.17,140.17,-,0.00
"Jan 12, 2022",140.41,140.41,140.41,140.41,-,0.02
"Jan 11, 2022",137.98,137.98,137.98,137.98,-,0.02
"Jan 10, 2022",134.65,134.65,134.65,134.65,-,-0.01
"Jan 07, 2022",135.55,135.55,135.55,135.55,-,0.00
"Jan 06, 2022",136.13,136.13,136.13,136.13,-,0.01
"Jan 05, 2022",134.29,134.29,134.29,134.29,-,0.02
"Jan 04, 2022",131.82,131.82,131.82,131.82,-,0.01
"Jan 03, 2022",130.16,130.16,130.16,130.16,-,-0.01
"Dec 30, 2021",130.97,130.97,130.97,130.97,-,0.01
"Dec 29, 2021",129.46,129.46,129.46,129.46,-,-0.01
"Dec 28, 2021",130.33,130.33,130.33,130.33,-,0.07
"Dec 27, 2021",121.76,121.76,121.76,121.76,-,-0.04
"Dec 23, 2021",126.32,126.32,126.32,126.32,-,0.02
"Dec 22, 2021",123.57,123.57,123.57,123.57,-,0.01
"Dec 21, 2021",121.82,121.82,121.82,121.82,-,0.05
"Dec 20, 2021",115.69,115.69,115.69,115.69,-,-0.05
"Dec 17, 2021",122.18,122.18,122.18,122.18,-,-0.02
"Dec 16, 2021",124.37,124.37,124.37,124.37,-,0.03
"Dec 15, 2021",120.30,120.30,120.30,120.30,-,-0.01
"Dec 14, 2021",121.51,121.51,121.51,121.51,-,-0.01
"Dec 13, 2021",122.98,122.98,122.98,122.98,-,0.00
"Dec 10, 2021",122.77,122.77,122.77,122.77,-,-0.01
"Dec 09, 2021",123.75,123.75,123.75,123.75,-,0.00
"Dec 08, 2021",124.27,124.27,124.27,124.27,-,0.00
