Date,Price,Open,High,Low,Vol.,Change %
"Jan 10, 2022",1801.30,1798.00,1804.40,1792.00,39.84K,0.00
"Jan 07, 2022",1799.90,1793.00,1800.70,1783.80,71.89K,0.00
"Jan 06, 2022",1791.50,1813.50,1813.70,1788.00,33.20K,-0.02
"Jan 05, 2022",1827.50,1817.00,1832.60,1811.60,10.32K,0.01
"Jan 04, 2022",1817.00,1804.50,1819.50,1800.60,10.86K,0.01
"Jan 03, 2022",1802.40,1832.90,1835.40,1800.50,9.97K,-0.02
"Dec 31, 2021",1831.00,1819.10,1833.60,1818.00,5.23K,0.01
"Dec 30, 2021",1816.60,1807.40,1820.30,1798.80,6.52K,0.00
"Dec 29, 2021",1808.20,1809.80,1810.00,1791.90,3.24K,0.00
"Dec 28, 2021",1813.30,1814.90,1823.60,1808.00,2.64K,0.00
"Dec 27, 2021",1811.10,1809.00,1816.80,1806.00,2.57K,0.00
"Dec 24, 2021",1810.10,1810.10,1810.10,1810.10,-,0.00
"Dec 23, 2021",1814.00,1806.90,1814.20,1801.60,2.46K,0.01
"Dec 22, 2021",1804.60,1791.80,1808.10,1788.60,1.60K,0.01
"Dec 21, 2021",1791.10,1794.30,1803.60,1787.60,4.59K,0.00
"Dec 20, 2021",1796.90,1802.40,1805.50,1791.40,3.80K,-0.01
"Dec 17, 2021",1807.30,1803.70,1818.00,1799.30,8.37K,0.00
"Dec 16, 2021",1800.70,1781.20,1803.10,1778.40,7.25K,0.02
"Dec 15, 2021",1766.90,1774.30,1783.30,1755.40,1.84K,0.00
"Dec 14, 2021",1774.70,1790.00,1791.40,1768.60,6.65K,-0.01
"Dec 13, 2021",1790.60,1786.60,1794.20,1784.60,5.02K,0.00
"Dec 10, 2021",1787.00,1779.10,1793.10,1772.90,6.46K,0.00
"Dec 09, 2021",1778.90,1786.40,1790.40,1775.40,5.16K,0.00
"Dec 08, 2021",1787.60,1788.10,1796.20,1782.60,2.70K,0.00
"Dec 07, 2021",1786.80,1782.10,1791.20,1774.50,5.25K,0.00
"Dec 06, 2021",1781.50,1790.00,1790.10,1778.70,2.89K,0.00
"Dec 03, 2021",1785.80,1772.50,1789.60,1768.50,6.77K,0.01
"Dec 02, 2021",1764.70,1786.10,1786.90,1764.20,5.57K,-0.01
"Dec 01, 2021",1786.30,1778.40,1796.20,1775.70,4.08K,0.00
"Nov 30, 2021",1778.30,1788.80,1813.10,1773.20,3.42K,0.00
"Nov 29, 2021",1787.10,1792.40,1803.00,1784.00,3.17K,0.00
"Nov 26, 2021",1789.90,1791.30,1820.80,1785.30,6.66K,0.00
"Nov 25, 2021",1792.40,1789.80,1795.30,1787.75,-,0.00
"Nov 24, 2021",1788.80,1793.90,1800.10,1782.40,4.60K,0.00
"Nov 23, 2021",1788.10,1813.30,1816.40,1786.60,6.13K,-0.01
"Nov 22, 2021",1811.00,1852.50,1853.70,1807.40,10.12K,-0.02
"Nov 19, 2021",1856.10,1865.30,1872.10,1849.20,3.85K,-0.01
"Nov 18, 2021",1865.70,1874.60,1875.80,1861.00,3.74K,0.00
"Nov 17, 2021",1874.40,1855.90,1874.60,1855.90,2.28K,0.01
"Nov 16, 2021",1858.30,1868.40,1882.50,1855.50,3.77K,-0.01
"Nov 15, 2021",1870.80,1875.60,1876.30,1862.90,11.81K,0.00
"Nov 12, 2021",1872.20,1867.30,1875.00,1851.90,1.98K,0.00
"Nov 11, 2021",1867.70,1854.00,1872.10,1849.40,5.09K,0.01
"Nov 10, 2021",1852.00,1837.20,1872.10,1826.80,8.35K,0.01
"Nov 09, 2021",1834.50,1827.80,1838.40,1825.60,6.16K,0.00
"Nov 08, 2021",1831.80,1823.00,1831.80,1818.00,4.62K,0.01
"Nov 05, 2021",1820.60,1799.20,1823.00,1789.20,4.13K,0.01
"Nov 04, 2021",1797.10,1781.90,1803.20,1774.60,3.73K,0.02
"Nov 03, 2021",1767.50,1787.00,1789.20,1762.80,2.37K,-0.01
"Nov 02, 2021",1793.00,1796.40,1801.10,1791.50,1.08K,0.00
"Nov 01, 2021",1799.50,1784.40,1801.00,1784.30,3.43K,0.01
"Oct 29, 2021",1787.60,1804.80,1805.90,1776.20,0.98K,-0.01
"Oct 28, 2021",1806.40,1800.60,1814.10,1797.20,2.32K,0.00
"Oct 27, 2021",1802.60,1797.60,1804.00,1788.60,0.84K,0.00
"Oct 26, 2021",1797.10,1810.60,1810.60,1788.00,0.73K,-0.01
"Oct 25, 2021",1810.40,1798.70,1814.60,1798.70,0.95K,0.01
"Oct 22, 2021",1800.00,1790.50,1818.60,1787.80,1.39K,0.01
"Oct 21, 2021",1785.40,1785.80,1792.50,1780.40,0.46K,0.00
"Oct 20, 2021",1788.40,1776.30,1791.70,1775.70,2.19K,0.01
"Oct 19, 2021",1774.10,1767.70,1789.40,1767.70,0.63K,0.00
"Oct 18, 2021",1769.30,1771.00,1775.00,1763.90,1.24K,0.00
"Oct 15, 2021",1771.90,1800.70,1800.70,1770.10,0.98K,-0.02
"Oct 14, 2021",1801.50,1797.00,1804.50,1793.10,0.91K,0.00
"Oct 13, 2021",1798.50,1766.70,1800.10,1761.60,3.95K,0.02
"Oct 12, 2021",1762.90,1755.20,1773.00,1755.20,3.26K,0.00
"Oct 11, 2021",1759.40,1757.40,1764.20,1753.70,2.61K,0.00
"Oct 08, 2021",1761.10,1759.60,1785.50,1758.10,2.91K,0.00
