Date,Price,Open,High,Low,Vol.,Change %,day
"Jan 17, 2022",42242.00,43084.00,43191.00,41568.00,2.92K,-0.02,309.00
"Jan 16, 2022",43084.00,43069.00,43487.00,42611.80,1.58K,0.00,308.00
"Jan 15, 2022",43069.00,43091.00,43806.00,42600.00,3.20K,0.00,307.00
"Jan 14, 2022",43091.00,42562.00,43463.00,41839.00,4.31K,0.01,306.00
"Jan 13, 2022",42562.00,43909.00,44426.70,42334.00,3.74K,-0.03,305.00
"Jan 12, 2022",43909.00,42743.00,44305.00,42475.00,3.77K,0.03,304.00
"Jan 11, 2022",42743.00,41839.00,43113.00,41287.00,4.79K,0.02,303.00
"Jan 10, 2022",41839.00,41850.00,42270.00,39677.00,9.55K,0.00,302.00
"Jan 09, 2022",41850.00,41679.00,42790.00,41275.00,3.72K,0.00,301.00
"Jan 08, 2022",41679.00,41518.00,42319.00,40570.00,4.15K,0.00,300.00
"Jan 07, 2022",41518.00,43111.00,43132.00,40755.00,7.40K,-0.04,299.00
"Jan 06, 2022",43111.00,43418.00,43777.00,42487.00,3.41K,-0.01,298.00
"Jan 05, 2022",43418.00,45830.00,47056.70,42519.00,6.93K,-0.05,297.00
"Jan 04, 2022",45830.00,46445.00,47546.00,45583.00,3.79K,-0.01,296.00
"Jan 03, 2022",46445.00,47314.00,47578.00,45701.00,2.58K,-0.02,295.00
"Jan 02, 2022",47314.00,47755.00,47980.00,46698.00,1.84K,-0.01,294.00
"Jan 01, 2022",47755.00,46218.00,47954.00,46215.00,2.18K,0.03,293.00
"Dec 31, 2021",46218.00,47156.00,48589.00,45697.00,4.25K,-0.02,292.00
"Dec 30, 2021",47156.00,46465.00,47911.00,45996.00,3.20K,0.01,291.00
"Dec 29, 2021",46465.00,47554.00,48166.00,46129.00,4.12K,-0.02,290.00
"Dec 28, 2021",47554.00,50684.00,50710.00,47339.00,5.43K,-0.06,289.00
"Dec 27, 2021",50684.00,50797.00,52027.00,50483.00,3.52K,0.00,288.00
"Dec 26, 2021",50797.00,50435.20,51281.00,49473.00,2.90K,0.01,287.00
"Dec 25, 2021",50437.00,50815.00,51169.00,50209.00,1.99K,-0.01,286.00
"Dec 24, 2021",50815.00,50833.00,51834.00,50439.00,2.60K,0.00,285.00
"Dec 23, 2021",50812.00,48626.00,51376.00,48078.00,4.43K,0.05,284.00
"Dec 22, 2021",48626.00,48923.00,49575.10,48459.80,3.14K,-0.01,283.00
"Dec 21, 2021",48923.00,46898.00,49352.00,46683.00,4.71K,0.04,282.00
"Dec 20, 2021",46898.00,46716.50,47541.00,45606.00,5.65K,0.00,281.00
"Dec 19, 2021",46716.50,46879.00,48283.00,46474.90,5.24K,0.00,280.00
"Dec 18, 2021",46879.00,46193.00,47364.00,45543.50,3.74K,0.01,279.00
"Dec 17, 2021",46193.00,47675.00,48028.80,45539.00,5.86K,-0.03,278.00
"Dec 16, 2021",47675.00,48901.00,49462.10,47561.00,3.53K,-0.03,277.00
"Dec 15, 2021",48901.00,48408.00,49520.00,46602.00,7.04K,0.01,276.00
"Dec 14, 2021",48408.00,46777.00,48656.00,46356.20,5.48K,0.03,275.00
"Dec 13, 2021",46777.00,50123.00,50222.70,45790.00,8.71K,-0.07,274.00
"Dec 12, 2021",50123.00,49363.10,50800.00,48692.00,3.87K,0.02,273.00
